,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
949,0 days 00:58:04.765000,14,0 days 00:01:17.810000,19.0,,,0 days 00:00:20.593000,0 days 00:00:36.146000,0 days 00:00:21.071000,0 days 00:57:07.548000,0 days 00:57:43.694000,0 days 00:58:04.765000,199.0,189.0,253.0,276.0,False,MEDIUM,19.0,True,1,0 days 00:56:46.955000,Alpine,ALO,1,True,2021-05-23 13:26:47.718
950,0 days 00:59:22.413000,14,0 days 00:01:17.648000,20.0,,,0 days 00:00:20.629000,0 days 00:00:36.069000,0 days 00:00:20.950000,0 days 00:58:25.394000,0 days 00:59:01.463000,0 days 00:59:22.413000,201.0,188.0,252.0,276.0,False,MEDIUM,20.0,True,1,0 days 00:58:04.765000,Alpine,ALO,1,True,2021-05-23 13:28:05.528
951,0 days 01:00:40.236000,14,0 days 00:01:17.823000,21.0,,,0 days 00:00:20.566000,0 days 00:00:36.217000,0 days 00:00:21.040000,0 days 00:59:42.979000,0 days 01:00:19.196000,0 days 01:00:40.236000,,190.0,252.0,276.0,False,MEDIUM,21.0,True,1,0 days 00:59:22.413000,Alpine,ALO,1,True,2021-05-23 13:29:23.176
952,0 days 01:01:58.041000,14,0 days 00:01:17.805000,22.0,,,0 days 00:00:20.649000,0 days 00:00:36.171000,0 days 00:00:20.985000,0 days 01:01:00.885000,0 days 01:01:37.056000,0 days 01:01:58.041000,,188.0,252.0,275.0,False,MEDIUM,22.0,True,1,0 days 01:00:40.236000,Alpine,ALO,1,True,2021-05-23 13:30:40.999
953,0 days 01:03:15.905000,14,0 days 00:01:17.864000,23.0,,,0 days 00:00:20.635000,0 days 00:00:36.209000,0 days 00:00:21.020000,0 days 01:02:18.676000,0 days 01:02:54.885000,0 days 01:03:15.905000,204.0,187.0,252.0,275.0,False,MEDIUM,23.0,True,1,0 days 01:01:58.041000,Alpine,ALO,1,True,2021-05-23 13:31:58.804
954,0 days 01:04:33.796000,14,0 days 00:01:17.891000,24.0,,,0 days 00:00:20.699000,0 days 00:00:36.153000,0 days 00:00:21.039000,0 days 01:03:36.604000,0 days 01:04:12.757000,0 days 01:04:33.796000,205.0,189.0,251.0,275.0,False,MEDIUM,24.0,True,1,0 days 01:03:15.905000,Alpine,ALO,1,True,2021-05-23 13:33:16.668
955,0 days 01:05:51.040000,14,0 days 00:01:17.244000,25.0,,,0 days 00:00:20.403000,0 days 00:00:35.964000,0 days 00:00:20.877000,0 days 01:04:54.199000,0 days 01:05:30.163000,0 days 01:05:51.040000,206.0,190.0,253.0,275.0,False,MEDIUM,25.0,True,1,0 days 01:04:33.796000,Alpine,ALO,1,True,2021-05-23 13:34:34.559
956,0 days 01:07:08.848000,14,0 days 00:01:17.808000,26.0,,,0 days 00:00:20.572000,0 days 00:00:36.216000,0 days 00:00:21.020000,0 days 01:06:11.612000,0 days 01:06:47.828000,0 days 01:07:08.848000,202.0,182.0,253.0,275.0,False,MEDIUM,26.0,True,1,0 days 01:05:51.040000,Alpine,ALO,1,True,2021-05-23 13:35:51.803
957,0 days 01:08:26.262000,14,0 days 00:01:17.414000,27.0,,,0 days 00:00:20.422000,0 days 00:00:36.143000,0 days 00:00:20.849000,0 days 01:07:29.270000,0 days 01:08:05.413000,0 days 01:08:26.262000,201.0,191.0,253.0,275.0,False,MEDIUM,27.0,True,1,0 days 01:07:08.848000,Alpine,ALO,1,True,2021-05-23 13:37:09.611
958,0 days 01:09:43.451000,14,0 days 00:01:17.189000,28.0,,,0 days 00:00:20.382000,0 days 00:00:36.074000,0 days 00:00:20.733000,0 days 01:08:46.644000,0 days 01:09:22.718000,0 days 01:09:43.451000,205.0,191.0,252.0,275.0,False,MEDIUM,28.0,True,1,0 days 01:08:26.262000,Alpine,ALO,1,True,2021-05-23 13:38:27.025
959,0 days 01:11:00.348000,14,0 days 00:01:16.897000,29.0,,,0 days 00:00:20.200000,0 days 00:00:35.939000,0 days 00:00:20.758000,0 days 01:10:03.651000,0 days 01:10:39.590000,0 days 01:11:00.348000,203.0,190.0,253.0,276.0,False,MEDIUM,29.0,True,1,0 days 01:09:43.451000,Alpine,ALO,1,True,2021-05-23 13:39:44.214
960,0 days 01:12:17.773000,14,0 days 00:01:17.425000,30.0,,,0 days 00:00:20.471000,0 days 00:00:36.064000,0 days 00:00:20.890000,0 days 01:11:20.819000,0 days 01:11:56.883000,0 days 01:12:17.773000,205.0,188.0,254.0,276.0,False,MEDIUM,30.0,True,1,0 days 01:11:00.348000,Alpine,ALO,1,True,2021-05-23 13:41:01.111
961,0 days 01:13:35.246000,14,0 days 00:01:17.473000,31.0,,,0 days 00:00:20.464000,0 days 00:00:36.080000,0 days 00:00:20.929000,0 days 01:12:38.237000,0 days 01:13:14.317000,0 days 01:13:35.246000,201.0,189.0,254.0,276.0,False,MEDIUM,31.0,True,1,0 days 01:12:17.773000,Alpine,ALO,1,True,2021-05-23 13:42:18.536
962,0 days 01:14:53.231000,14,0 days 00:01:17.985000,32.0,,,0 days 00:00:20.412000,0 days 00:00:36.513000,0 days 00:00:21.060000,0 days 01:13:55.658000,0 days 01:14:32.171000,0 days 01:14:53.231000,204.0,187.0,252.0,275.0,False,MEDIUM,32.0,True,1,0 days 01:13:35.246000,Alpine,ALO,1,True,2021-05-23 13:43:36.009
963,0 days 01:16:10.321000,14,0 days 00:01:17.090000,33.0,,,0 days 00:00:20.273000,0 days 00:00:35.929000,0 days 00:00:20.888000,0 days 01:15:13.504000,0 days 01:15:49.433000,0 days 01:16:10.321000,206.0,189.0,253.0,277.0,False,MEDIUM,33.0,True,1,0 days 01:14:53.231000,Alpine,ALO,1,True,2021-05-23 13:44:53.994
964,0 days 01:17:29.016000,14,0 days 00:01:18.695000,34.0,,,0 days 00:00:20.835000,0 days 00:00:36.655000,0 days 00:00:21.205000,0 days 01:16:31.156000,0 days 01:17:07.811000,0 days 01:17:29.016000,198.0,185.0,253.0,279.0,False,MEDIUM,34.0,True,1,0 days 01:16:10.321000,Alpine,ALO,1,True,2021-05-23 13:46:11.084
965,0 days 01:18:46.257000,14,0 days 00:01:17.241000,35.0,,,0 days 00:00:20.380000,0 days 00:00:36.057000,0 days 00:00:20.804000,0 days 01:17:49.396000,0 days 01:18:25.453000,0 days 01:18:46.257000,204.0,191.0,254.0,278.0,False,MEDIUM,35.0,True,1,0 days 01:17:29.016000,Alpine,ALO,1,True,2021-05-23 13:47:29.779
966,0 days 01:20:03.545000,14,0 days 00:01:17.288000,36.0,,,0 days 00:00:20.242000,0 days 00:00:36.167000,0 days 00:00:20.879000,0 days 01:19:06.499000,0 days 01:19:42.666000,0 days 01:20:03.545000,207.0,191.0,254.0,277.0,False,MEDIUM,36.0,True,1,0 days 01:18:46.257000,Alpine,ALO,1,True,2021-05-23 13:48:47.020
967,0 days 01:21:20.717000,14,0 days 00:01:17.172000,37.0,,,0 days 00:00:20.314000,0 days 00:00:36.009000,0 days 00:00:20.849000,0 days 01:20:23.859000,0 days 01:20:59.868000,0 days 01:21:20.717000,,191.0,253.0,276.0,False,MEDIUM,37.0,True,1,0 days 01:20:03.545000,Alpine,ALO,1,True,2021-05-23 13:50:04.308
968,0 days 01:22:38.003000,14,0 days 00:01:17.286000,38.0,,,0 days 00:00:20.192000,0 days 00:00:36.012000,0 days 00:00:21.082000,0 days 01:21:40.909000,0 days 01:22:16.921000,0 days 01:22:38.003000,208.0,192.0,253.0,276.0,False,MEDIUM,38.0,True,1,0 days 01:21:20.717000,Alpine,ALO,1,True,2021-05-23 13:51:21.480
969,0 days 01:23:55.105000,14,0 days 00:01:17.102000,39.0,,,0 days 00:00:20.124000,0 days 00:00:36.053000,0 days 00:00:20.925000,0 days 01:22:58.127000,0 days 01:23:34.180000,0 days 01:23:55.105000,209.0,189.0,254.0,277.0,False,MEDIUM,39.0,True,1,0 days 01:22:38.003000,Alpine,ALO,1,True,2021-05-23 13:52:38.766
970,0 days 01:25:12.368000,14,0 days 00:01:17.263000,40.0,,,0 days 00:00:20.300000,0 days 00:00:36.064000,0 days 00:00:20.899000,0 days 01:24:15.405000,0 days 01:24:51.469000,0 days 01:25:12.368000,,192.0,254.0,276.0,False,MEDIUM,40.0,True,1,0 days 01:23:55.105000,Alpine,ALO,1,True,2021-05-23 13:53:55.868
971,0 days 01:26:29.635000,14,0 days 00:01:17.267000,41.0,,,0 days 00:00:20.225000,0 days 00:00:36.091000,0 days 00:00:20.951000,0 days 01:25:32.593000,0 days 01:26:08.684000,0 days 01:26:29.635000,,190.0,253.0,276.0,False,MEDIUM,41.0,True,1,0 days 01:25:12.368000,Alpine,ALO,1,True,2021-05-23 13:55:13.131
972,0 days 01:27:47.081000,14,0 days 00:01:17.446000,42.0,,,0 days 00:00:20.281000,0 days 00:00:36.186000,0 days 00:00:20.979000,0 days 01:26:49.916000,0 days 01:27:26.102000,0 days 01:27:47.081000,208.0,192.0,252.0,277.0,False,MEDIUM,42.0,True,1,0 days 01:26:29.635000,Alpine,ALO,1,True,2021-05-23 13:56:30.398
